GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification-service,org.example,CalculatorImpl,4,19,1,1,1,6,1,5,0,5
notification-service,org.example,App,7,0,0,0,3,0,2,0,2,0
